account_id,customer_id,account_type,balance,status
ACC0200001,CUST000001,Current,7778,Active
ACC0200002,CUST000002,Current,124084,Active
ACC0200003,CUST000003,Current,191766,Active
ACC0200004,CUST000004,Current,141017,Active
ACC0200005,CUST000005,Salary,61237,Active
ACC0200006,CUST000006,Salary,54975,Active
ACC0200007,CUST000007,Salary,158176,Dormant
ACC0200008,CUST000008,Salary,183355,Active
ACC0200009,CUST000009,Current,136410,Active
ACC0200010,CUST000010,Current,101091,Active
ACC0200011,CUST000011,Savings,40163,Active
ACC0200012,CUST000012,Salary,91706,Active
ACC0200013,CUST000013,Current,40137,Active
ACC0200014,CUST000014,Savings,172017,Dormant
ACC0200015,CUST000015,Savings,115077,Active
ACC0200016,CUST000016,Current,121973,Active
ACC0200017,CUST000017,Salary,63659,Active
ACC0200018,CUST000018,Salary,159987,Active
ACC0200019,CUST000019,Savings,197466,Active
ACC0200020,CUST000020,Current,163658,Active
ACC0200021,CUST000021,Savings,165857,Active
ACC0200022,CUST000022,Salary,79226,Active
ACC0200023,CUST000023,Current,21561,Active
ACC0200024,CUST000024,Current,34415,Active
ACC0200025,CUST000025,Salary,33025,Active
ACC0200026,CUST000026,Current,101838,Active
ACC0200027,CUST000027,Savings,63401,Active
ACC0200028,CUST000028,Savings,29982,Active
ACC0200029,CUST000029,Current,138893,Active
ACC0200030,CUST000030,Savings,184195,Active
ACC0200031,CUST000031,Salary,101911,Active
ACC0200032,CUST000032,Savings,144602,Active
ACC0200033,CUST000033,Current,60749,Active
ACC0200034,CUST000034,Salary,114424,Active
ACC0200035,CUST000035,Salary,141639,Active
ACC0200036,CUST000036,Current,51745,Active
ACC0200037,CUST000037,Savings,95827,Active
ACC0200038,CUST000038,Salary,53140,Active
ACC0200039,CUST000039,Current,146779,Active
ACC0200040,CUST000040,Savings,107042,Active
ACC0200041,CUST000041,Savings,176464,Active
ACC0200042,CUST000042,Salary,155899,Active
ACC0200043,CUST000043,Salary,31653,Active
ACC0200044,CUST000044,Salary,9729,Active
ACC0200045,CUST000045,Savings,78025,Active
ACC0200046,CUST000046,Savings,142089,Active
ACC0200047,CUST000047,Salary,16971,Active
ACC0200048,CUST000048,Savings,180653,Active
ACC0200049,CUST000049,Current,95128,Active
ACC0200050,CUST000050,Savings,55999,Active
ACC0200051,CUST000051,Salary,33908,Active
ACC0200052,CUST000052,Current,184001,Active
ACC0200053,CUST000053,Savings,59355,Active
ACC0200054,CUST000054,Salary,196706,Active
ACC0200055,CUST000055,Current,19365,Active
ACC0200056,CUST000056,Savings,171340,Active
ACC0200057,CUST000057,Salary,100402,Active
ACC0200058,CUST000058,Current,49168,Active
ACC0200059,CUST000059,Current,165692,Active
ACC0200060,CUST000060,Salary,120346,Active
ACC0200061,CUST000061,Salary,192431,Active
ACC0200062,CUST000062,Current,104480,Active
ACC0200063,CUST000063,Salary,46672,Active
ACC0200064,CUST000064,Current,86735,Active
ACC0200065,CUST000065,Current,93334,Active
ACC0200066,CUST000066,Savings,137682,Active
